epoch,step,min,max,mean,std
1,1000,-33.38557815551758,-33.38557815551758,-33.38557815551758,0.0
2,2000,-36.09696578979492,-36.09696578979492,-36.09696578979492,0.0
3,3000,-64.42125701904297,-64.42125701904297,-64.42125701904297,0.0
4,4000,-255.1005859375,-255.1005859375,-255.1005859375,0.0
5,5000,-689.423828125,-689.423828125,-689.423828125,0.0
6,6000,-1324.1025390625,-1324.1025390625,-1324.1025390625,0.0
7,7000,-1434.6619873046875,-1434.6619873046875,-1434.6619873046875,0.0
8,8000,-2251.398681640625,-2251.398681640625,-2251.398681640625,0.0
9,9000,-2640.645751953125,-2640.645751953125,-2640.645751953125,0.0
10,10000,-2775.94677734375,-2775.94677734375,-2775.94677734375,0.0
11,11000,-2535.27783203125,-2535.27783203125,-2535.27783203125,0.0
12,12000,-3164.403076171875,-3164.403076171875,-3164.403076171875,0.0
13,13000,-3319.313232421875,-3319.313232421875,-3319.313232421875,0.0
14,14000,-3352.911865234375,-3352.911865234375,-3352.911865234375,0.0
15,15000,-2856.46142578125,-2856.46142578125,-2856.46142578125,0.0
16,16000,-2773.442626953125,-2773.442626953125,-2773.442626953125,0.0
17,17000,-2343.455078125,-2343.455078125,-2343.455078125,0.0
18,18000,-2650.357421875,-2650.357421875,-2650.357421875,0.0
19,19000,-2750.44482421875,-2750.44482421875,-2750.44482421875,0.0
20,20000,-2019.12109375,-2019.12109375,-2019.12109375,0.0
21,21000,-1482.1961669921875,-1482.1961669921875,-1482.1961669921875,0.0
