epoch,step,min,max,mean,std
1,1000,0.9274500608444214,0.9274500608444214,0.9274500608444214,0.0
2,2000,0.8778238892555237,0.8778238892555237,0.8778238892555237,0.0
3,3000,0.8750706911087036,0.8750706911087036,0.8750706911087036,0.0
4,4000,1.0126760005950928,1.0126760005950928,1.0126760005950928,0.0
5,5000,1.1723443269729614,1.1723443269729614,1.1723443269729614,0.0
6,6000,1.3312690258026123,1.3312690258026123,1.3312690258026123,0.0
7,7000,1.5424175262451172,1.5424175262451172,1.5424175262451172,0.0
8,8000,1.7598481178283691,1.7598481178283691,1.7598481178283691,0.0
9,9000,1.9766111373901367,1.9766111373901367,1.9766111373901367,0.0
10,10000,2.1874802112579346,2.1874802112579346,2.1874802112579346,0.0
11,11000,2.240450620651245,2.240450620651245,2.240450620651245,0.0
12,12000,2.255906105041504,2.255906105041504,2.255906105041504,0.0
13,13000,2.2929434776306152,2.2929434776306152,2.2929434776306152,0.0
14,14000,2.362823009490967,2.362823009490967,2.362823009490967,0.0
15,15000,2.4816904067993164,2.4816904067993164,2.4816904067993164,0.0
16,16000,2.677157402038574,2.677157402038574,2.677157402038574,0.0
17,17000,2.8999669551849365,2.8999669551849365,2.8999669551849365,0.0
18,18000,3.1767170429229736,3.1767170429229736,3.1767170429229736,0.0
19,19000,3.515186309814453,3.515186309814453,3.515186309814453,0.0
20,20000,3.8223440647125244,3.8223440647125244,3.8223440647125244,0.0
21,21000,4.171790599822998,4.171790599822998,4.171790599822998,0.0
