epoch,step,min,max,mean,std
1,1000,-0.012717709876596928,0.02061856910586357,0.0019221054390072823,0.005927563179284334
2,2000,-0.015863647684454918,0.028305793181061745,0.0025381604209542274,0.007696815300732851
3,3000,-0.09190957993268967,0.08369971811771393,-0.006508055608719587,0.027108563110232353
4,4000,-0.3609430193901062,0.18299439549446106,-0.02928609773516655,0.0920167863368988
5,5000,-0.11621171236038208,0.08265659213066101,-0.007401532493531704,0.031193939968943596
6,6000,-0.26777705550193787,0.15850819647312164,-0.019245121628046036,0.07565822452306747
7,7000,-0.1504775881767273,0.3552514612674713,0.02418212965130806,0.08902242034673691
8,8000,-0.04302314668893814,0.06407583504915237,0.006441465113312006,0.022148406133055687
9,9000,-0.10443717241287231,0.18310323357582092,0.02874552272260189,0.048471175134181976
10,10000,-0.3765261471271515,0.3615737855434418,0.009034082293510437,0.10896933078765869
11,11000,-0.16897708177566528,0.13823473453521729,-0.013521132059395313,0.048222512006759644
12,12000,-0.4394567012786865,0.6830623745918274,0.026311535388231277,0.16590987145900726
13,13000,-0.39457592368125916,0.49652379751205444,-0.019777964800596237,0.14683420956134796
14,14000,-0.592767596244812,0.562237024307251,-0.0365125834941864,0.19104233384132385
15,15000,-0.5504647493362427,0.6331429481506348,-0.00129328528419137,0.17078134417533875
16,16000,-0.4695071280002594,0.25052306056022644,-0.0388479046523571,0.10641185939311981
17,17000,-0.08786941319704056,0.16519387066364288,0.007215123623609543,0.041317977011203766
18,18000,-0.4889601469039917,0.10838226974010468,-0.05768031254410744,0.1079755425453186
19,19000,-0.41804659366607666,0.541911244392395,-0.026159804314374924,0.13437145948410034
20,20000,-0.11209192872047424,0.5709607005119324,0.06869276612997055,0.13038115203380585
21,21000,-0.745097279548645,0.22830985486507416,-0.05430147424340248,0.16490262746810913
