epoch,step,min,max,mean,std
1,1000,-0.007419779896736145,0.0032664863392710686,-0.0022009836975485086,0.0022899918258190155
2,2000,-0.010309070348739624,0.003874586895108223,-0.0020718760788440704,0.0033981362357735634
3,3000,-0.05345551669597626,-0.005325174890458584,-0.029223963618278503,0.011906903237104416
4,4000,-0.031278904527425766,0.0228712260723114,-0.006441772915422916,0.014326674863696098
5,5000,-0.022188406437635422,0.008089927956461906,-0.011301012709736824,0.005776077974587679
6,6000,-0.01914878934621811,0.014318235218524933,-0.009855376556515694,0.005887731909751892
7,7000,-0.018298175185918808,-0.0007238052785396576,-0.008187111467123032,0.0033543379977345467
8,8000,-0.017111899331212044,-0.003297806717455387,-0.008288072422146797,0.0023677374701946974
9,9000,-0.01404181495308876,-0.004253090359270573,-0.00725884735584259,0.002153097651898861
10,10000,-0.05152445659041405,-0.006340986117720604,-0.012879597954452038,0.008647216483950615
11,11000,-0.016271652653813362,-0.0039581432938575745,-0.007447297219187021,0.0022288260515779257
12,12000,-0.010079823434352875,3.8271769881248474e-05,-0.006365938577800989,0.0016500274650752544
13,13000,-0.007507395930588245,0.00203865859657526,-0.00535045750439167,0.002317823236808181
14,14000,-0.01691056415438652,0.0016119536012411118,-0.00625199219211936,0.002140239579603076
15,15000,-0.010446758009493351,-0.004663905128836632,-0.0067395661026239395,0.0013796136481687427
16,16000,-0.00887327827513218,0.0030396468937397003,-0.005024555139243603,0.0018250502180308104
17,17000,-0.009882643818855286,-0.0025422004982829094,-0.005223467014729977,0.0010539096547290683
18,18000,-0.010992424562573433,-0.0010675331577658653,-0.006462361663579941,0.001161291729658842
19,19000,-0.019261537119746208,-0.004769396036863327,-0.008642155677080154,0.0016181169776245952
20,20000,-0.0035440861247479916,0.0025081909261643887,-0.001773158204741776,0.001460540690459311
21,21000,-0.005767582915723324,0.005314860492944717,0.0009563682833686471,0.0019861538894474506
