epoch,step,min,max,mean,std
1,1000,-0.054416656494140625,0.011371858417987823,-0.013100096955895424,0.010689210146665573
2,2000,-0.1220841109752655,0.045967619866132736,-0.011128183454275131,0.014648224227130413
3,3000,-1.0717246532440186,0.05177907645702362,-0.07885812222957611,0.10258583724498749
4,4000,-2.30045223236084,1.089543342590332,-0.016110219061374664,0.2346459925174713
5,5000,-2.487764596939087,5.298389434814453,0.28094008564949036,0.719382643699646
6,6000,-10.849474906921387,5.639317512512207,-1.2132840156555176,1.537358283996582
7,7000,-12.573734283447266,2.9870376586914062,-1.4570988416671753,1.7357118129730225
8,8000,-14.787090301513672,0.9817135334014893,-1.3514577150344849,2.1148509979248047
9,9000,-17.48822784423828,0.550322413444519,-1.8175628185272217,2.5614681243896484
10,10000,-58.61705017089844,1.4785516262054443,-2.937603235244751,5.299925804138184
11,11000,-14.985818862915039,1.6448071002960205,-1.3652422428131104,2.6103174686431885
12,12000,-15.617410659790039,2.0240745544433594,-1.9071277379989624,3.4922237396240234
13,13000,-18.301034927368164,2.816652536392212,-2.099137783050537,3.898710012435913
14,14000,-32.090972900390625,5.151527404785156,-1.966257095336914,4.334082126617432
15,15000,-26.68748664855957,1.5112650394439697,-2.9789505004882812,5.383230209350586
16,16000,-30.715576171875,6.424193859100342,-3.3128645420074463,6.020777225494385
17,17000,-32.43865203857422,3.274150848388672,-3.5526065826416016,6.28726053237915
18,18000,-30.22452735900879,4.148354530334473,-3.029874801635742,5.739898204803467
19,19000,-36.60918045043945,1.3823167085647583,-2.2474446296691895,4.023813247680664
20,20000,-30.741954803466797,3.930117130279541,-3.7429404258728027,6.969978332519531
21,21000,-53.141815185546875,1.2008216381072998,-4.97969388961792,8.92650318145752
