epoch,step,min,max,mean,std
1,1000,-33.24815368652344,-33.24815368652344,-33.24815368652344,0.0
2,2000,-36.77546310424805,-36.77546310424805,-36.77546310424805,0.0
3,3000,-61.15579605102539,-61.15579605102539,-61.15579605102539,0.0
4,4000,-160.72103881835938,-160.72103881835938,-160.72103881835938,0.0
5,5000,-386.8615417480469,-386.8615417480469,-386.8615417480469,0.0
6,6000,-634.988037109375,-634.988037109375,-634.988037109375,0.0
7,7000,-817.5302124023438,-817.5302124023438,-817.5302124023438,0.0
8,8000,-1274.6397705078125,-1274.6397705078125,-1274.6397705078125,0.0
9,9000,-1838.33349609375,-1838.33349609375,-1838.33349609375,0.0
10,10000,-1526.649658203125,-1526.649658203125,-1526.649658203125,0.0
11,11000,-1876.891357421875,-1876.891357421875,-1876.891357421875,0.0
12,12000,-2110.00390625,-2110.00390625,-2110.00390625,0.0
13,13000,-1999.7762451171875,-1999.7762451171875,-1999.7762451171875,0.0
14,14000,-1814.2933349609375,-1814.2933349609375,-1814.2933349609375,0.0
15,15000,-1572.84228515625,-1572.84228515625,-1572.84228515625,0.0
16,16000,-1589.4793701171875,-1589.4793701171875,-1589.4793701171875,0.0
17,17000,-1325.0628662109375,-1325.0628662109375,-1325.0628662109375,0.0
18,18000,-1122.9896240234375,-1122.9896240234375,-1122.9896240234375,0.0
19,19000,-1215.0081787109375,-1215.0081787109375,-1215.0081787109375,0.0
20,20000,-998.28662109375,-998.28662109375,-998.28662109375,0.0
21,21000,-802.16162109375,-802.16162109375,-802.16162109375,0.0
