epoch,step,min,max,mean,std
1,1000,-0.09201052039861679,0.29884180426597595,0.0035537469666451216,0.026861198246479034
2,2000,-0.11924596130847931,0.19607451558113098,0.00035274369292892516,0.015849240124225616
3,3000,-0.24763086438179016,1.4669082164764404,0.013052128255367279,0.09227249026298523
4,4000,-0.14012722671031952,0.7334086894989014,-0.0026594495866447687,0.02888491563498974
5,5000,-0.8355127573013306,0.4579075574874878,-0.004739750176668167,0.044835109263658524
6,6000,-1.5956685543060303,1.4160648584365845,-0.02130209468305111,0.11470266431570053
7,7000,-0.6195195913314819,1.9540976285934448,-0.0015874287346377969,0.08072568476200104
8,8000,-0.8955699801445007,2.4466421604156494,0.012999719940125942,0.121038056910038
9,9000,-0.7881408333778381,1.8901536464691162,-0.04127873480319977,0.09377838671207428
10,10000,-0.9475409984588623,1.0843226909637451,0.026968399062752724,0.09523533284664154
11,11000,-1.6306082010269165,2.90376615524292,0.0033038873225450516,0.1673600673675537
12,12000,-3.158834934234619,1.2411561012268066,-0.03354353830218315,0.1588580161333084
13,13000,-2.4178452491760254,1.117408275604248,-0.045819759368896484,0.15234291553497314
14,14000,-0.2843763828277588,0.7742593288421631,0.020625215023756027,0.052062537521123886
15,15000,-1.1416159868240356,1.8600951433181763,0.031276196241378784,0.10800864547491074
16,16000,-0.6353626251220703,8.743104934692383,0.2929142415523529,0.6396222710609436
17,17000,-0.6192408204078674,8.394899368286133,0.2733720541000366,0.5706058740615845
18,18000,-0.5443704724311829,6.61733341217041,0.254777729511261,0.4991726279258728
19,19000,-1.2541159391403198,8.916189193725586,0.3571997284889221,0.6936195492744446
20,20000,-1.0692524909973145,10.416245460510254,0.3074566721916199,0.6028714776039124
21,21000,-1.349758267402649,10.0095853805542,0.3383227586746216,0.6580295562744141
